number,query,question,narrative,qe_wide_search,qe_refine_search
27,coronavirus asymptomatic,what is known about those infected with Covid-19 but are asymptomatic?,"Studies of people who are known to be infected with Covid-19 but show no symptoms?","COVID-19 asymptomatic carriers silent infection transmission testing screening prevalence subclinical detection","COVID-19 asymptomatic infection subclinical transmission detection prevalence public health implications"
28,coronavirus hydroxychloroquine,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,"Basic science or clinical studies assessing the benefit and harms of treating Covid-19 with hydroxychloroquine.","COVID-19 hydroxychloroquine treatment antimalarial therapy efficacy safety clinical trials adverse events controversy","COVID-19 hydroxychloroquine clinical evidence antiviral activity benefit risk controversies recommendation"
29,coronavirus drug repurposing,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,"Seeking information about protein-protein interactions for any of the SARS-CoV-2  structural proteins that represent a promising therapeutic target,  and the drug  molecules that may inhibit the virus and the host cell receptors at entry step.","SARS-CoV-2 drug repurposing protein-protein interactions host-virus targets antiviral agents FDA-approved therapies screening","SARS-CoV-2 drug repurposing host-virus binding structural proteins therapeutic screening candidate compounds"
30,coronavirus remdesivir,is remdesivir an effective treatment for COVID-19,"seeking specific information on clinical outcomes in COVID-19 patients treated with remdesivir","COVID-19 remdesivir antiviral efficacy polymerase inhibitor clinical outcomes safety FDA approval RCT results","COVID-19 remdesivir clinical trial efficacy viral load reduction adverse effects treatment guidelines"
31,difference between coronavirus and flu,How does the coronavirus differ from seasonal flu?,"Includes studies ranging from those focusing on genomic differences to global public health impacts, but must draw direct comparisons between COVID-19 and seasonal influenza.","SARS-CoV-2 influenza comparison genomic differences epidemiology transmission severity immune response hospitalization","SARS-CoV-2 influenza direct comparison genomic structure transmissibility severity mortality public health"
32,coronavirus subtypes,"Does SARS-CoV-2 have any subtypes, and if so what are they?","Papers that discuss subtypes of the virus, from named subtypes to speculative subtypes based on genomic or geographic clustering.","SARS-CoV-2 subtypes variants lineages genetic diversity clades phylogenetics spike mutations classification","SARS-CoV-2 subtypes genomic variants clade classification phylogenetic clustering strain differences emerging lineages"
33,coronavirus vaccine candidates,What vaccine candidates are being tested for Covid-19?,"Seeking studies that discuss possible, but specific, COVID-19 vaccines. Includes articles from those describing the mechanisms of action of specific proposed vaccines to actual clinical trials, but excluding articles that do not name a specific vaccine candidate.","COVID-19 vaccine candidates mRNA viral vector protein subunit inactivated clinical trials immunogenicity efficacy","COVID-19 vaccine candidates clinical development immunogenicity efficacy preclinical trials neutralizing antibodies"
34,coronavirus recovery,What are the longer-term complications of those who recover from COVID-19?,"Seeking information on the health outcomes for those that recover from the virus. Excludes studies only focusing on adverse effects related to a particular COVID-19 drug.","COVID-19 recovery long-term effects complications post-infection sequelae rehabilitation persistent symptoms follow-up","COVID-19 recovery outcomes long-term sequelae persistent symptoms post-acute follow-up"
35,coronavirus public datasets,What new public datasets are available related to COVID-19?,"Seeking articles that specifically release new data related to SARS-CoV-2 or COVID-19, including genomic data, patient data, public health data, etc. Articles that reference previously existing datasets are not relevant.","COVID-19 public datasets genomic data epidemiological patient data open-source repositories GISAID new resources","COVID-19 new datasets genomic epidemiological patient data publicly available updated resources"
36,SARS-CoV-2 spike structure,What is the protein structure of the SARS-CoV-2 spike?,"Looking for studies of the structure of the spike protein on the virus using any methods, such as cryo-EM or crystallography","SARS-CoV-2 spike protein structure cryo-EM receptor-binding domain S1 S2 conformational changes glycoprotein analysis","SARS-CoV-2 spike structure RBD cryo-EM domain architecture conformational dynamics receptor binding"
37,SARS-CoV-2 phylogenetic analysis,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,"Looking for a range of studies which provide the results of phylogenetic network analysis on the SARS-CoV-2 genome","SARS-CoV-2 phylogenetics genomic evolution molecular epidemiology lineage tracing global strains phylogenetic network analysis","SARS-CoV-2 phylogenetic analysis lineage mapping evolutionary history genetic clustering molecular epidemiology"
38,COVID inflammatory response,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,"Looking for a range of studies which describes the inflammatory response cells and pathogenesis during the Coronavirus Disease 2019 (COVID-19) outbreak, including the mechanism of anti-inflammatory drugs, corticosteroids, and vitamin supplements","COVID-19 inflammatory response pathogenesis immune cells cytokines IL-6 immunomodulation corticosteroids vitamin supplements","COVID-19 inflammation pathogenesis cytokine release immune dysregulation therapy mechanisms immunomodulators"
39,COVID-19 cytokine storm,What is the mechanism of cytokine storm syndrome on the COVID-19?,"Looking for studies that describes mechanism of development of cytokine storm syndrome among COVID-19 cases and the range of drugs used for the therapy of cytokine storm","COVID-19 cytokine storm hyperinflammation IL-6 IL-1 TNF pathophysiology immunotherapy tocilizumab","COVID-19 cytokine storm mechanism immunopathology IL-6 blockade anti-inflammatory therapy hyperinflammation"
40,coronavirus mutations,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,"Looking for studies that describes the emergence of genomic diversity of the coronavirus due to recurrent mutations which explore the potential genomic site of the mutation, mechanisms and its potential or observed clinical implications in the pathogenicity of the virus","SARS-CoV-2 mutations genomic diversity recurring variants spike changes evolutionary rate pathogenic implications","SARS-CoV-2 mutations genomic sites recurrent variants pathogenic impact clinical significance evolution"
41,COVID-19 in African-Americans,What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?,"Looking for studies that analyze burden of illness and death among the African-American/black racial/ethnic group. This includes potential reasons for transmission, morbidity, and mortality. This may include discussion of other minority groups, but all studies should contain specific information on the health disparities faced by African-Americans in this pandemic.","COVID-19 African-Americans health disparities social determinants mortality morbidity racial inequities disproportionate burden","COVID-19 African-Americans disproportionate impact comorbidity structural racism outcomes analysis minority groups"
42,Vitamin D and COVID-19,Does Vitamin D impact COVID-19 prevention and treatment?,"This includes studies describing possible role of Vitamin D in prevention of COVID-19, suppression of cytokine storm, clinical outcomes, and associations between Vitamin D status and COVID-19 mortality.","COVID-19 vitamin D deficiency supplementation immune modulation cytokine storm mortality association prevention therapy","COVID-19 vitamin D immunomodulatory effect deficiency supplementation outcomes risk mortality association"
43,violence during pandemic,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?","Looking for analyses and data on how the pandemic is impacting rates of violence, including domestic/family violence related to quarantine.","COVID-19 pandemic violence domestic abuse quarantine stress social isolation mental health interpersonal conflict","COVID-19 violence domestic abuse quarantine incidence risk factors data psychosocial consequences"
44,impact of masks on coronavirus transmission,How much impact do masks have on preventing the spread of the COVID-19?,"Looking for studies of how masks slow SARS-CoV-2 transmission, including impact on R0. Studies can include both lab and population studies.","COVID-19 masks transmission reduction R0 face coverings community protection population studies prevention measure","COVID-19 mask efficacy transmission control population-level impact infection prevention R0 reduction"
45,coronavirus mental health impact,How has the COVID-19 pandemic impacted mental health?,"Includes increasing/decreasing rates of depression, anxiety, panic disorder, and other psychiatric and mental health conditions.","COVID-19 mental health depression anxiety stress PTSD lockdown psychological burden population well-being","COVID-19 mental health depression anxiety psychosocial effects coping strategies pandemic impact"
46,dexamethasone coronavirus,what evidence is there for dexamethasone as a treatment for COVID-19?,"Looking for studies on the impact of dexamethasone treatment in COVID-19 patients, including health benefits as well as adverse effects. This also includes specific populations that are benefitted/harmed by dexamethasone.","COVID-19 dexamethasone corticosteroid therapy anti-inflammatory effects mortality reduction clinical trials population benefits adverse outcomes","COVID-19 dexamethasone treatment outcomes anti-inflammatory benefits adverse reactions randomized trials"
47,COVID-19 outcomes in children,what are the health outcomes for children who contract COVID-19?,"Looking for studies on health outcomes in children related to COVID-19. This includes studies attempting to explain the underlying biological mechanisms for why children differ from adults in response to infection.","COVID-19 children pediatric outcomes mild cases MIS-C pathophysiology transmission immunity hospitalization severity","COVID-19 pediatric outcomes MIS-C severity risk factors immune response differences child health"
48,school reopening coronavirus,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,"With the possibility of schools re-opening while the COVID-19 pandemic is still ongoing, this topic is looking for evidence or projections on what the potential implications of this are in terms of COVID-19 cases, hospitalizations, or deaths, as well as other benefits or harms to re-opening schools. This includes both the impact on students, teachers, families, and the wider community.","COVID-19 school reopening transmission risk child infection educational impact modeling public policy community implications","COVID-19 school reopening risk-benefit analysis transmission modeling community impact public health guidance"
49,post-infection COVID-19 immunity,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?","There is concern about re-infection for COVID-19, so this topic is looking for studies suggesting post-infection immunity, including post-infection antibody levels (over time) and evidence for individuals who have been infected more than once.","COVID-19 post-infection immunity antibodies T-cell response reinfection protection durability convalescence immune memory","COVID-19 post-infection immunity antibody titers T-cell memory reinfection evidence immune durability"
50,mRNA vaccine coronavirus,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,"Looking for studies specifically focusing on mRNA vaccines for COVID-19, including how mRNA vaccines work, why they are promising, and any results from actual clinical studies.","COVID-19 mRNA vaccine messenger RNA immunization spike protein encapsulation clinical trials immune response efficacy","COVID-19 mRNA vaccine platform immunogenicity phase trials efficacy lipid nanoparticle technology"
