number,query,question,narrative,MESH_wide_search,MESH_refine_search
20,coronavirus and ACE inhibitors,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,"Looking for information on interactions between  coronavirus and  angiotensin converting enzyme 2 (ACE2) receptors, risk for patients taking these medications, and recommendations for these patients.",COVID-19  SARS-CoV-2  Angiotensin-Converting Enzyme Inhibitors  Angiotensin-Converting Enzyme 2  Risk Factors ,COVID-19  SARS-CoV-2  Angiotensin-Converting Enzyme Inhibitors  Angiotensin-Converting Enzyme 2 
21,coronavirus mortality,what are the mortality rates overall and in specific populations,"Seeking  information on COVID-19 fatality rates in different countries and in different population groups based on gender, blood types, or other factors",COVID-19  SARS-CoV-2  Mortality  Fatality  Epidemiology ,COVID-19  SARS-CoV-2  Mortality  Epidemiology 
22,coronavirus heart impacts,are cardiac complications likely in patients with COVID-19?,"Seeking information on the types, frequency and mechanisms of cardiac complications caused by coronavirus.",COVID-19  SARS-CoV-2  Heart Diseases  Cardiovascular System  Myocarditis  Arrhythmias Cardiac ,COVID-19  SARS-CoV-2  Heart Diseases  Myocarditis 
23,coronavirus hypertension,what kinds of complications related to COVID-19 are associated with hypertension?,seeking specific outcomes that hypertensive  (any type) patients are more/less likely to face if infected with the virus,COVID-19  SARS-CoV-2  Hypertension  Risk Factors  Vascular Diseases ,COVID-19  SARS-CoV-2  Hypertension  Vascular Diseases 
24,coronavirus diabetes,what kinds of complications related to COVID-19 are associated with diabetes,seeking specific outcomes that diabetic (any type) patients are more/less likely to face if infected with the virus,COVID-19  SARS-CoV-2  Diabetes Mellitus  Hyperglycemia  Risk Factors ,COVID-19  SARS-CoV-2  Diabetes Mellitus  Hyperglycemia 
25,coronavirus biomarkers,which biomarkers predict the severe clinical course of 2019-nCOV infection?,"Looking for information on biomarkers that predict disease outcomes in people infected with coronavirus, specifically those that predict severe and fatal outcomes.",COVID-19  SARS-CoV-2  Biomarkers  Cytokines  Inflammatory Markers ,COVID-19  SARS-CoV-2  Biomarkers  Cytokines 
26,coronavirus early symptoms,what are the initial symptoms of Covid-19?,Studies of patients and the first clinical manifestations they develop upon active infection?,COVID-19  SARS-CoV-2  Signs and Symptoms  Fever  Cough  Dyspnea ,COVID-19  SARS-CoV-2  Signs and Symptoms  Fever 
27,coronavirus asymptomatic,what is known about those infected with Covid-19 but are asymptomatic?,Studies of people who are known to be infected with Covid-19 but show no symptoms?,COVID-19  SARS-CoV-2  Asymptomatic Infections  Virus Shedding  Population Surveillance ,COVID-19  SARS-CoV-2  Asymptomatic Infections  Virus Shedding 
28,coronavirus hydroxychloroquine,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,Basic science or clinical studies assessing the benefit and harms of treating Covid-19 with hydroxychloroquine.,COVID-19  SARS-CoV-2  Hydroxychloroquine  Antimalarials  Drug Therapy ,COVID-19  SARS-CoV-2  Hydroxychloroquine  Drug Therapy 
29,coronavirus drug repurposing,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,"Seeking information about protein-protein interactions for any of the SARS-CoV-2  structural proteins that represent a promising therapeutic target,  and the drug  molecules that may inhibit the virus and the host cell receptors at entry step.",COVID-19  SARS-CoV-2  Drug Repositioning  Protein Binding  Spike Glycoprotein Coronavirus  Receptors Virus ,COVID-19  SARS-CoV-2  Drug Repositioning  Spike Glycoprotein Coronavirus 
30,coronavirus remdesivir,is remdesivir an effective treatment for COVID-19,seeking specific information on clinical outcomes in COVID-19 patients treated with remdesivir,COVID-19  SARS-CoV-2  Remdesivir  Antiviral Agents  Treatment Outcome ,COVID-19  SARS-CoV-2  Remdesivir  Antiviral Agents 
31,difference between coronavirus and flu,How does the coronavirus differ from seasonal flu?,"Includes studies ranging from those focusing on genomic differences to global public health impacts, but must draw direct comparisons between COVID-19 and seasonal influenza.",COVID-19  Influenza Human  SARS-CoV-2  Orthomyxoviridae  Comparative Study ,COVID-19  Influenza Human  SARS-CoV-2  Comparative Study 
32,coronavirus subtypes,"Does SARS-CoV-2 have any subtypes, and if so what are they?","Papers that discuss subtypes of the virus, from named subtypes to speculative subtypes based on genomic or geographic clustering.",COVID-19  SARS-CoV-2  Genetic Variation  Genotype  Phylogeny ,COVID-19  SARS-CoV-2  Genetic Variation  Phylogeny 
33,coronavirus vaccine candidates,What vaccine candidates are being tested for Covid-19?,"Seeking studies that discuss possible, but specific, COVID-19 vaccines. Includes articles from those describing the mechanisms of action of specific proposed vaccines to actual clinical trials, but excluding articles that do not name a specific vaccine candidate.",COVID-19  SARS-CoV-2  Vaccines  Clinical Trials as Topic  Vaccine Development ,COVID-19  SARS-CoV-2  Vaccines  Clinical Trials as Topic 
34,coronavirus recovery,What are the longer-term complications of those who recover from COVID-19?,Seeking information on the health outcomes for those that recover from the virus. Excludes studies only focusing on adverse effects related to a particular COVID-19 drug.,COVID-19  SARS-CoV-2  Recovery of Function  Post-Acute Care  Convalescence ,COVID-19  SARS-CoV-2  Recovery of Function  Convalescence 
35,coronavirus public datasets,What new public datasets are available related to COVID-19?,"Seeking articles that specifically release new data related to SARS-CoV-2 or COVID-19, including genomic data, patient data, public health data, etc. Articles that reference previously existing datasets are not relevant.",COVID-19  SARS-CoV-2  Data Collection  Databases Factual  Open Data ,COVID-19  SARS-CoV-2  Data Collection  Databases Factual 
36,SARS-CoV-2 spike structure,What is the protein structure of the SARS-CoV-2 spike?,"Looking for studies of the structure of the spike protein on the virus using any methods, such as cryo-EM or crystallography",COVID-19  SARS-CoV-2  Spike Glycoprotein Coronavirus  Protein Structure Tertiary  Cryoelectron Microscopy ,COVID-19  SARS-CoV-2  Spike Glycoprotein Coronavirus  Protein Structure Tertiary 
37,SARS-CoV-2 phylogenetic analysis,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,Looking for a range of studies which provide the results of phylogenetic network analysis on the SARS-CoV-2 genome,COVID-19  SARS-CoV-2  Phylogeny  Genomics  Sequence Analysis ,COVID-19  SARS-CoV-2  Phylogeny  Genomics 
38,COVID inflammatory response,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,"Looking for a range of studies which describes the inflammatory response cells and pathogenesis during the Coronavirus Disease 2019 (COVID-19) outbreak, including the mechanism of anti-inflammatory drugs, corticosteroids, and vitamin supplements",COVID-19  SARS-CoV-2  Inflammation  Pathogenesis  Cytokines  Anti-Inflammatory Agents ,COVID-19  SARS-CoV-2  Inflammation  Pathogenesis  Cytokines 
39,COVID-19 cytokine storm,What is the mechanism of cytokine storm syndrome on the COVID-19?,Looking for studies that describes mechanism of development of cytokine storm syndrome among COVID-19 cases and the range of drugs used for the therapy of cytokine storm,COVID-19  SARS-CoV-2  Cytokine Release Syndrome  Interleukins  Immunomodulation ,COVID-19  SARS-CoV-2  Cytokine Release Syndrome  Immunomodulation 
40,coronavirus mutations,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,"Looking for studies that describes the emergence of genomic diversity of the coronavirus due to recurrent mutations which explore the potential genomic site of the mutation, mechanisms and its potential or observed clinical implications in the pathogenicity of the virus",COVID-19  SARS-CoV-2  Mutation  Viral Evolution  Genome Viral ,COVID-19  SARS-CoV-2  Mutation  Genome Viral 
41,COVID-19 in African-Americans,What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?,"Looking for studies that analyze burden of illness and death among the African-American/black racial/ethnic group. This includes potential reasons for transmission, morbidity, and mortality. This may include discussion of other minority groups, but all studies should contain specific information on the health disparities faced by African-Americans in this pandemic.",COVID-19  SARS-CoV-2  African Americans  Health Status Disparities  Social Determinants of Health ,COVID-19  SARS-CoV-2  African Americans  Health Status Disparities 
42,Vitamin D and COVID-19,Does Vitamin D impact COVID-19 prevention and treatment?,"This includes studies describing possible role of Vitamin D in prevention of COVID-19, suppression of cytokine storm, clinical outcomes, and associations between Vitamin D status and COVID-19 mortality.",COVID-19  SARS-CoV-2  Vitamin D  Immunity  Mortality ,COVID-19  SARS-CoV-2  Vitamin D  Immunity 
43,violence during pandemic,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?","Looking for analyses and data on how the pandemic is impacting rates of violence, including domestic/family violence related to quarantine.",COVID-19  SARS-CoV-2  Violence  Domestic Violence  Crime ,COVID-19  SARS-CoV-2  Violence  Domestic Violence 
44,impact of masks on coronavirus transmission,How much impact do masks have on preventing the spread of the COVID-19?,"Looking for studies of how masks slow SARS-CoV-2 transmission, including impact on R0. Studies can include both lab and population studies.",COVID-19  SARS-CoV-2  Masks  Disease Transmission Infectious ,COVID-19  SARS-CoV-2  Masks  Disease Transmission Infectious 
45,coronavirus mental health impact,How has the COVID-19 pandemic impacted mental health?,"Includes increasing/decreasing rates of depression, anxiety, panic disorder, and other psychiatric and mental health conditions.",COVID-19  SARS-CoV-2  Mental Health  Anxiety  Depression  Stress Psychological ,COVID-19  SARS-CoV-2  Mental Health  Anxiety 
46,dexamethasone coronavirus,what evidence is there for dexamethasone as a treatment for COVID-19?,"Looking for studies on the impact of dexamethasone treatment in COVID-19 patients, including health benefits as well as adverse effects. This also includes specific populations that are benefitted/harmed by dexamethasone.",COVID-19  SARS-CoV-2  Dexamethasone  Anti-Inflammatory Agents  Glucocorticoids ,COVID-19  SARS-CoV-2  Dexamethasone  Glucocorticoids 
47,COVID-19 outcomes in children,what are the health outcomes for children who contract COVID-19?,Looking for studies on health outcomes in children related to COVID-19. This includes studies attempting to explain the underlying biological mechanisms for why children differ from adults in response to infection.,COVID-19  SARS-CoV-2  Child  Pediatrics  Disease Susceptibility ,COVID-19  SARS-CoV-2  Child  Disease Susceptibility 
48,school reopening coronavirus,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,"With the possibility of schools re-opening while the COVID-19 pandemic is still ongoing, this topic is looking for evidence or projections on what the potential implications of this are in terms of COVID-19 cases, hospitalizations, or deaths, as well as other benefits or harms to re-opening schools. This includes both the impact on students, teachers, families, and the wider community.",COVID-19  SARS-CoV-2  Schools  Risk Assessment  Disease Transmission Infectious ,COVID-19  SARS-CoV-2  Schools  Risk Assessment 
49,post-infection COVID-19 immunity,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?","There is concern about re-infection for COVID-19, so this topic is looking for studies suggesting post-infection immunity, including post-infection antibody levels (over time) and evidence for individuals who have been infected more than once.",COVID-19  SARS-CoV-2  Immunity  Antibodies  T-Lymphocytes ,COVID-19  SARS-CoV-2  Immunity  Antibodies 
50,mRNA vaccine coronavirus,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,"Looking for studies specifically focusing on mRNA vaccines for COVID-19, including how mRNA vaccines work, why they are promising, and any results from actual clinical studies.",COVID-19  SARS-CoV-2  RNA Messenger  Vaccines Messenger RNA-Based  Clinical Trials as Topic ,COVID-19  SARS-CoV-2  RNA Messenger  Vaccines Messenger RNA-Based 
